name,channel_url,subs,total_views,video_count,bio,top_videos,has_webinar_keyword,website,h1,price_signal,authority_count,D1,D2,D3,D4,D5,D6,D7,Total_Fitness,Generation,youtube,linkedin,instagram,twitter,webinar_url,has_webinar,course_url,site_headline,site_sections,site_cta,has_pricing
Nick Saraev,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,377000,14155392,303,"Hi 👋 I'm Nick. I make money with AI tools like N8N, Claude Code, and Antigravity—and I teach others how they can too.

I'm not the best in the world, nor are my accomplishments the most impressive... but some people think I have interesting things to say! To that end, this channel is a way to organize my thoughts and provide a guidepost for people that want to grow or build an online business. 

You'll find marketing guides, Make.com guides, Integromat guides, Zapier guides, sales guides, and really anything I find interesting on a day-to-day basis. I'm Make.com & N8N certified and use it often as part of my businesses, so you'll see a lot of that too.

If you have any questions, feel free to ask and I'll happily respond in the comments. Thanks for reading.
","CLAUDE CODE FULL COURSE 4 HOURS: Build &amp; Sell (2026) | N8N FULL COURSE 6 HOURS (Build &amp; Sell AI Automations + Agents) | What I&#39;d Learn Instead of Automation in 2026 | Watch me start &amp; sell an AI service in 10 hours | $2.4M of Prompt Engineering Hacks in 53 Mins (GPT, Claude)",True,Not Found,,False,0,10.0,6.0,10.0,5.0,0.0,10.0,0.0,62.5,Finalist,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Riley Brown,https://www.youtube.com/channel/UCMcoud_ZW7cfxeIugBflSBw,211000,7861490,168,"The number one vibe coding channel on YouTube. We talk about Claude Code for mobile apps, web apps, and agents. ",Can I Vibecode a $250M App Better Than a Pro Developer? (With No Code) | Create a speaking animated character | Midjourney + other AI Tools | We Made Claude Code Build Lovable in 75 Minutes (With No Code) | Claude Code Replaced Cursor for Me… Here’s Why | Cursor 2.0 Tutorial for Beginners (Full Course),True,Not Found,,False,0,10.0,4.5,10.0,5.0,0.0,10.0,0.0,58.75,Finalist,https://www.youtube.com/channel/UCMcoud_ZW7cfxeIugBflSBw,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Nate Herk | AI Automation,https://www.youtube.com/channel/UC2ojq-nuP8ceeHqiroeKhBA,648000,30134620,385,"Hi 👋 I'm Nate Herk. I’m passionate about helping businesses unlock the power of AI Automations to save time, cut costs, and stay competitive. 

I believe that businesses that don’t adopt AI will struggle to keep up, and I’m here to make sure you’re ahead of the curve. Whether you’re new to AI or looking to refine your workflows, I’m here to guide you through it all.

Let’s build a more efficient future together! Book a call on my website!
","Build &amp; Sell n8n AI Agents (8+ Hour Course, No Code) | I Built the Ultimate Team of Agents in n8n  #artificialintelligence #n8n #agentgpt  #techtok #coding | I Built a Marketing Team with 1 AI Agent and No Code (free n8n template) | This Invoice Agent Analyzes Images in n8n  #techtok #agentgpt #artificialintelligence #n8n | n8n Masterclass: Build AI Agents &amp; Automate Workflows (Beginner to Pro)",True,Not Found,,False,0,10.0,4.5,10.0,5.0,0.0,10.0,0.0,58.75,Finalist,https://www.youtube.com/channel/UC2ojq-nuP8ceeHqiroeKhBA,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
n8n,https://www.youtube.com/channel/UCiHVTkJtWSdc9N3h0nUGWLg,230000,8248824,346,"n8n gives technical teams a workflow automation platform that uniquely combines AI capabilities with business process automation. Connect any app or API while maintaining the flexibility of code with the speed of no-code.
","n8n Quick Start Tutorial: Build Your First Workflow [2025] | n8n Beginner Course (1/9) - Introduction to Automation | Building AI Agents: Chat Trigger, Memory, and System/User Messages Explained [Part 1] | Install n8n Locally With Docker Desktop | Create Stunning AI-Generated Images with Flux AI + n8n.io",True,Not Found,,False,0,10.0,3.0,10.0,5.0,0.0,10.0,0.0,55.0,Finalist,https://www.youtube.com/channel/UCiHVTkJtWSdc9N3h0nUGWLg,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Helena Liu,https://www.youtube.com/channel/UCpM_g95uzZ_OyhgukvrbbiQ,272000,8219862,295,"Hi, I’m Helena 👋 — I teach you how to use AI tools and automation to grow your business, save time, and build new income streams.

On this channel, you’ll learn practical ways to use ChatGPT, AI agents, and no-code automation to create content faster, launch AI side hustles, and future-proof your career.

Whether you’re an entrepreneur, content creator, or someone just curious about AI, you’ll find step-by-step tutorials, AI business ideas, and real use cases you can apply right away.

Subscribe for weekly videos on AI, automation, and digital entrepreneurship — and start building your future with AI today. Also, don't forget to sign up for my free AI and automations training: https://www.productcamps.com/free
","This Social Media AI System Creates Unique Content Daily! (100% Automated) | Using ChatGPT to Generate 1000s of Leads in Any Niche (Free + Easy Method) | How to Memorize the 49 Processes from the PMBOK 6th Edition Process Chart | 3 AI &quot;Secrets&quot; 99% of People Don&#39;t Know | How to Make $30,000/Year Blogging Using AI &amp; Automation (step-by-step course)",True,Not Found,,False,0,10.0,3.0,10.0,5.0,0.0,10.0,0.0,55.0,Finalist,https://www.youtube.com/channel/UCpM_g95uzZ_OyhgukvrbbiQ,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
HighLevel,https://www.youtube.com/channel/UCXFiV4qDX5ipE-DQcsm1j4g,92100,65565013,7629,"The fastest growing white-label marketing platform for digital agencies. Functionality includes: CRM with SmartLists, Email, 2-way SMS, Outbound Calling & Call Recording, Power Dialer, Form Builder, Survey Builder, Funnel Builder, Website Builder, Online Scheduling, Automation Campaigns, Reporting and more!",Ai Agent Action in Workflows is Live! | Day 1 - From Client Acquisition to MRR | The HighLevel Release Radar (April 6th - April 10th 2026) | Contact page customization Live! | Starting an AI Company with HighLevel,True,Not Found,,False,0,9.21,1.5,10.0,5.0,0.0,10.0,0.0,49.67,Finalist,https://www.youtube.com/channel/UCXFiV4qDX5ipE-DQcsm1j4g,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Vibe Coding with Naman,https://www.youtube.com/channel/UCUrnOS0DWudye54XqyDAuXA,8970,343976,22,"Hi, my name is Naman Gupta, and I teach you how to develop software with AI technologies, and how to Vibe Code!

On this channel, I create original, hands-on tutorials and full courses that I teach, record, and produce by myself. I teach you how to build apps, websites, and software using the latest AI technologies, and I break down complex AI concepts through my own explanations, demonstrations, and project walkthroughs.

YouTube is my passion, and so is building software. Each one of my videos and tutorials is crafted from scratch to share what I’m learning, what I’m building, and how you can apply AI to become a better developer. My goal is to help you understand modern AI-driven development in a clear, practical, and enjoyable way, and that’s why I teach on YouTube. 

I try my best to teach, I try my best to learn, and I’m happy to share this journey with all of you here on Vibe Coding with Naman. 

Peace and Faith ✌️
","How to Build Apps with Replit AI Agent | Full Beginner Course | Coding with ChatGPT-5 - App Development with AI | Full Tutorial - Vibe Coding | How to Code a ChatBot Using JavaScript, HTML and CSS | Vibe Coding Full Course for Beginners | Lovable Full Course by Naman Gupta -  Vibe Coding Tutorial",True,Not Found,,False,0,0.897,3.0,10.0,5.0,0.0,5.0,0.0,34.294000000000004,Finalist,https://www.youtube.com/channel/UCUrnOS0DWudye54XqyDAuXA,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
GoHighLevel Tutorials - HL Power Hub,https://www.youtube.com/channel/UCgb-hU13CUfZ88jIHiD6BLw,3370,265578,712,"Get amazing bonuses & free stuff worth over $ 11k: https://www.gohighlevel.com/highlevel-bootcamp?fp_ref=j5pfx

Get a 30 Days Free Trial + Free Live Bootcamp (optional) to Launch HighLevel Together - Launch HighLevel in just 48 minutes without any product, experience, or tech skills:

Sign up For GoHighLevel OR Upgrade, I've got a ton of goodies for you https://gohighleveldoneforyouagency.com/upgrade

Access White Label Videos (branded & unbranded) https://gohighleveldoneforyouagency.com/white-labelled-support-videos

10 Ways to INSTANTLY Improve Your Funnels (FREE PDF) https://gohighleveldoneforyouagency.com/10-ways-improve-funnels

Join my community & attend weekly Q&A sessions: https://login.hlpowerhub.com/communities/groups/inside-highlevel 

More awesome stuff below:
",How to Use the Facebook &amp; Instagram Comment and DM Automation Workflow Trigger Action on Gohighlevel | How to TRACK your visitors / guests / clients via QR Codes at a LIVE event (or in a restaurant) #ghl | Create Your Webinar Funnels With a Few Clicks on Gohighlevel #ghl #tips #gohighlevelreviews #crm | Set Up Your AI AGENTS Using Voice AI On GOHIGHLEVEL #ghl #gohighlevelreviews #gohighlevelexpert | GoHighlevel CRM: Inbound Call Flow for Voice AI Calls - Let Voice AI Agents Pick Up Your CALLS #ghl,True,Not Found,,False,0,0.337,3.0,10.0,5.0,0.0,5.0,0.0,33.174,Finalist,https://www.youtube.com/channel/UCgb-hU13CUfZ88jIHiD6BLw,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Pragati Kunwer | Claude Code,https://www.youtube.com/channel/UCe4eqh2Rs4bkjDRrjZQWkZw,112000,28708,99,"Learn Claude Code Skills — the #1 AI tool for non-coders. Build anything with AI using plain English. No coding required. New videos 4x every week.

Claude Code just changed everything. One tool. $20/month. Skills written in plain English. No coding. No expensive tool stacks.

I'm Pragati Kunwer. 20 years building products at IBM Watson and Nike. Now I teach Claude Code Skills — the AI skills that are transforming how teachers, freelancers, designers, and solopreneurs work without writing a single line of code.

Every video: one skill demo, one real result, one SKILL.md you can download and use TODAY.

63% of Claude Code users are NOT developers. Teachers, freelancers, solopreneurs, small business owners — this channel is built for YOU.

🎓 FREE Claude Code Course + Community:
→ https://www.skool.com/agentskillsacademy/about 

📸 Instagram: @pragatikunwer

📥 FREE: 50 AI Business Ideas Cheat Sheet:
→ https://payhip.com/b/3vSqN

Comment SKILL on any video and I'll DM you the course link.
",Claude Code + Remotion Just Killed Video Editors | 7 Claude Code Skills That Run My Entire Business (No Coding Required) | Prompt Engineering Is Dead. I Have Proof. | How to Make Money Using AI in 2026 (Complete Beginner&#39;s Guide) | ChatGPT for Beginners: Start Earning in 7 Days,False,Not Found,,False,0,10.0,4.5,3.0,0.0,0.0,10.0,0.0,31.4,Finalist,https://www.youtube.com/channel/UCe4eqh2Rs4bkjDRrjZQWkZw,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
Claude Ams - Programming Guru 💻,https://www.youtube.com/channel/UC1Wn8F-xff2j4hR9ZZ1UsyA,412000,485720970,6006,"👇 | SUBSCRIBE to become a SIGMA Coder Σ | 👇 
💻 | Sharing Daily Coding tips.
🦾 | BF of Developers and Students
⚙️ | Productivity Instructor (study, work, code)

🚀 Are you ready to take your coding skills to the next level? Look no further! Welcome to the channel of Claude Ams, the coding expert who is here to make your journey an exciting and informative one

💻 With over 7 years of helping more than 1,000,000 people around the world, Claude Ams brings you the latest in coding tutorials, walkthroughs, and tech discussions. Whether you're a beginner or a seasoned pro, Claude Ams has got you covered.

🔥 From web development to data science, Claude Ams has a passion for all things coding and is here to share that passion with you. With Claude Ams's engaging and informative content, you'll be well on your way to improving your coding skills in no time!

💥 So what are you waiting for? Subscribe now and join the coding community. Let Claude Ams help you reach your coding goals and beyond! 🚀💻
",My little sister literally shocked me for a while💀#siblinggoals #ai #yt #shorts #tricks #funny | She locked herself because students were using AI (Blackbox AI)🤦🏻‍♀️#trending #ai #yt #shorts #web | Why is this coder boy like this?👀#trending #viral #funny #shorts #ai #yt #tricks #cs #fun #sibling | My little coder brother was doing this in Cinema👀#trending #coding #ai #viral #shorts #tricks #yt | We came to eat Chole Bhature but…👀#food #coding #ai #aitools #shorts #trending #viral #tricks,False,Not Found,,False,0,10.0,3.0,3.0,0.0,0.0,10.0,0.0,28.4,Finalist,https://www.youtube.com/channel/UC1Wn8F-xff2j4hR9ZZ1UsyA,Not Found,Not Found,Not Found,Not Found,False,Not Found,Not Found,Not Found,Not Found,False
